country,year,projected_cases,lower_ci,upper_ci
Afghanistan,2024,61408.3,15039.3,250741.7
Afghanistan,2025,65059.1,13555.1,312257.4
Afghanistan,2026,68927.0,12178.6,390104.6
Afghanistan,2027,73024.8,10916.1,488508.6
Afghanistan,2028,77366.2,9767.1,612827.5
Afghanistan,2029,81965.8,8726.9,769845.9
Afghanistan,2030,86838.8,7789.1,968148.3
Albania,2024,292.8,71.6,1198.2
Albania,2025,280.8,58.4,1351.0
Albania,2026,269.3,47.5,1528.2
Albania,2027,258.3,38.5,1732.6
Albania,2028,247.7,31.2,1968.0
Albania,2029,237.5,25.2,2238.3
Albania,2030,227.8,20.4,2548.6
Angola,2024,61767.9,15124.5,252258.9
Angola,2025,63148.7,13143.9,303393.3
Angola,2026,64560.3,11381.0,366227.4
Angola,2027,66003.4,9828.0,443268.0
Angola,2028,67478.8,8469.7,537609.6
Angola,2029,68987.2,7287.6,653056.5
Angola,2030,70529.4,6262.8,794276.8
Argentina,2024,14106.6,3454.7,57602.7
Argentina,2025,14723.7,3067.5,70671.2
Argentina,2026,15367.7,2715.1,86981.1
Argentina,2027,16039.9,2397.6,107307.6
Argentina,2028,16741.5,2113.4,132620.5
Argentina,2029,17473.8,1860.3,164130.9
Argentina,2030,18238.1,1635.8,203349.2
Armenia,2024,298.8,73.0,1221.9
Armenia,2025,262.8,54.6,1263.4
Armenia,2026,231.1,40.8,1310.6
Armenia,2027,203.3,30.3,1362.7
Armenia,2028,178.8,22.5,1419.4
Armenia,2029,157.2,16.7,1480.5
Armenia,2030,138.3,12.4,1546.0
Australia,2024,1345.9,329.4,5498.3
Australia,2025,1347.3,280.5,6469.9
Australia,2026,1348.6,238.1,7637.5
Australia,2027,1350.0,201.7,9037.0
Australia,2028,1351.3,170.5,10712.1
Australia,2029,1352.7,143.9,12715.3
Australia,2030,1354.1,121.3,15109.4
Austria,2024,363.1,88.8,1485.2
Austria,2025,346.3,72.0,1665.2
Austria,2026,330.3,58.2,1873.0
Austria,2027,315.0,47.0,2111.7
Austria,2028,300.4,37.8,2385.0
Austria,2029,286.5,30.4,2697.5
Austria,2030,273.2,24.4,3054.2
Azerbaijan,2024,2261.9,553.8,9238.4
Azerbaijan,2025,2228.6,464.2,10699.7
Azerbaijan,2026,2195.8,387.8,12431.6
Azerbaijan,2027,2163.4,323.3,14477.9
Azerbaijan,2028,2131.5,269.0,16891.2
Azerbaijan,2029,2100.1,223.5,19734.0
Azerbaijan,2030,2069.2,185.5,23080.3
Bahamas,2024,44.6,10.8,185.0
Bahamas,2025,44.1,9.0,215.1
Bahamas,2026,43.5,7.5,250.9
Bahamas,2027,43.0,6.3,293.4
Bahamas,2028,42.5,5.2,343.8
Bahamas,2029,41.9,4.4,403.3
Bahamas,2030,41.4,3.6,473.6
Bangladesh,2024,334758.2,81985.4,1366866.3
Bangladesh,2025,353032.5,73555.6,1694391.7
Bangladesh,2026,372304.4,65782.8,2107093.9
Bangladesh,2027,392628.4,58693.1,2626495.7
Bangladesh,2028,414061.8,52274.0,3279777.6
Bangladesh,2029,436665.3,46492.8,4101206.3
Bangladesh,2030,460502.7,41306.0,5133946.1
Belarus,2024,767.1,187.7,3134.1
Belarus,2025,677.6,141.1,3254.3
Belarus,2026,598.5,105.7,3389.8
Belarus,2027,528.6,79.0,3539.4
Belarus,2028,467.0,58.9,3702.1
Belarus,2029,412.5,43.9,3877.7
Belarus,2030,364.3,32.6,4066.1
Belgium,2024,846.6,155.5,4608.8
Belgium,2025,841.4,127.8,5537.2
Belgium,2026,836.1,104.8,6670.4
Belgium,2027,830.9,85.8,8051.7
Belgium,2028,825.8,70.1,9733.9
Belgium,2029,820.6,57.2,11781.6
Belgium,2030,815.5,46.6,14273.5
Belize,2024,83.0,20.2,341.5
Belize,2025,81.6,16.8,395.1
Belize,2026,80.2,14.0,458.6
Belize,2027,78.9,11.7,533.5
Belize,2028,77.6,9.7,621.8
Belize,2029,76.3,8.0,725.7
Belize,2030,75.0,6.6,847.9
Benin,2024,4333.0,1061.0,17695.1
Benin,2025,4401.5,916.9,21129.1
Benin,2026,4471.1,789.8,25310.1
Benin,2027,4541.8,678.8,30389.8
Benin,2028,4613.7,582.3,36554.1
Benin,2029,4686.7,498.9,44029.6
Benin,2030,4760.8,426.9,53091.7
Bhutan,2024,733.5,179.5,2997.5
Bhutan,2025,706.8,147.1,3395.8
Bhutan,2026,681.2,120.2,3859.3
Bhutan,2027,656.5,98.0,4396.4
Bhutan,2028,632.6,79.8,5017.2
Bhutan,2029,609.7,64.8,5733.6
Bhutan,2030,587.5,52.6,6559.4
Bolivia (Plurinational State of),2024,8218.9,2012.7,33561.6
Bolivia (Plurinational State of),2025,8279.5,1724.9,39741.5
Bolivia (Plurinational State of),2026,8340.6,1473.5,47209.3
Bolivia (Plurinational State of),2027,8402.1,1255.9,56212.6
Bolivia (Plurinational State of),2028,8464.1,1068.4,67052.4
Bolivia (Plurinational State of),2029,8526.5,907.7,80093.1
Bolivia (Plurinational State of),2030,8589.4,770.3,95774.1
Bosnia and Herzegovina,2024,361.1,88.3,1476.6
Bosnia and Herzegovina,2025,322.7,67.1,1551.1
Bosnia and Herzegovina,2026,288.3,50.9,1634.6
Bosnia and Herzegovina,2027,257.6,38.4,1726.5
Bosnia and Herzegovina,2028,230.2,29.0,1826.9
Bosnia and Herzegovina,2029,205.7,21.9,1935.9
Bosnia and Herzegovina,2030,183.8,16.4,2053.5
Botswana,2024,2813.6,688.9,11490.6
Botswana,2025,2585.9,538.7,12413.8
Botswana,2026,2376.6,419.8,13453.8
Botswana,2027,2184.3,326.4,14615.4
Botswana,2028,2007.5,253.4,15905.6
Botswana,2029,1845.0,196.4,17333.7
Botswana,2030,1695.7,152.1,18910.5
Brazil,2024,90794.6,22236.3,370729.8
Brazil,2025,92502.1,19273.0,443969.6
Brazil,2026,94241.6,16651.5,533373.5
Brazil,2027,96013.9,14352.8,642291.6
Brazil,2028,97819.4,12349.3,774832.8
Brazil,2029,99659.0,10610.8,936015.9
Brazil,2030,101533.1,9107.2,1131959.8
Brunei Darussalam,2024,252.4,61.6,1033.4
Brunei Darussalam,2025,255.2,53.0,1228.7
Brunei Darussalam,2026,258.0,45.4,1465.6
Brunei Darussalam,2027,260.9,38.9,1752.3
Brunei Darussalam,2028,263.8,33.2,2098.9
Brunei Darussalam,2029,266.8,28.3,2517.4
Brunei Darussalam,2030,269.8,24.1,3022.8
Bulgaria,2024,794.7,145.4,4342.3
Bulgaria,2025,732.7,110.9,4843.0
Bulgaria,2026,675.6,84.3,5415.9
Bulgaria,2027,622.9,63.9,6068.7
Bulgaria,2028,574.3,48.4,6810.6
Bulgaria,2029,529.5,36.6,7652.2
Bulgaria,2030,488.2,27.7,8606.0
Burkina Faso,2024,7772.6,1903.4,31740.0
Burkina Faso,2025,8099.2,1687.3,38876.8
Burkina Faso,2026,8439.5,1491.0,47770.1
Burkina Faso,2027,8794.1,1314.4,58836.3
Burkina Faso,2028,9163.5,1156.7,72595.5
Burkina Faso,2029,9548.5,1016.5,89696.0
Burkina Faso,2030,9949.7,892.3,110945.4
Burundi,2024,7477.2,1831.1,30533.4
Burundi,2025,7498.8,1562.2,35994.6
Burundi,2026,7520.5,1328.7,42567.8
Burundi,2027,7542.2,1127.3,50460.2
Burundi,2028,7564.0,954.8,59922.7
Burundi,2029,7585.9,807.6,71257.9
Burundi,2030,7607.8,682.3,84829.6
Cabo Verde,2024,155.9,38.0,638.8
Cabo Verde,2025,146.2,30.3,704.6
Cabo Verde,2026,137.1,24.1,779.7
Cabo Verde,2027,128.6,19.1,864.8
Cabo Verde,2028,120.7,15.2,960.9
Cabo Verde,2029,113.2,12.0,1069.2
Cabo Verde,2030,106.2,9.5,1191.0
Cambodia,2024,29278.2,7170.4,119549.6
Cambodia,2025,28654.2,5970.1,137529.9
Cambodia,2026,28043.5,4954.9,158718.9
Cambodia,2027,27445.8,4102.7,183604.2
Cambodia,2028,26860.9,3391.0,212770.5
Cambodia,2029,26288.4,2798.9,246910.7
Cambodia,2030,25728.1,2307.7,286840.7
Cameroon,2024,25534.9,6253.6,104265.2
Cameroon,2025,25782.9,5371.8,123749.3
Cameroon,2026,26033.3,4599.7,147342.6
Cameroon,2027,26286.1,3929.3,175847.8
Cameroon,2028,26541.4,3350.6,210242.3
Cameroon,2029,26799.2,2853.3,251711.5
Cameroon,2030,27059.5,2427.1,301688.2
Canada,2024,2051.5,501.1,8399.2
Canada,2025,2095.4,435.2,10088.4
Canada,2026,2140.2,376.8,12155.9
Canada,2027,2185.9,325.5,14681.6
Canada,2028,2232.7,280.6,17763.6
Canada,2029,2280.4,241.6,21522.4
Canada,2030,2329.2,207.8,26104.9
Central African Republic,2024,15553.3,3808.9,63510.0
Central African Republic,2025,16883.5,3517.5,81038.4
Central African Republic,2026,18327.5,3238.1,103734.4
Central African Republic,2027,19895.1,2973.8,133099.7
Central African Republic,2028,21596.7,2726.3,171082.8
Central African Republic,2029,23443.8,2495.9,220209.2
Central African Republic,2030,25448.9,2282.5,283750.7
Chad,2024,17226.5,4218.7,70341.5
Chad,2025,18172.8,3786.2,87225.6
Chad,2026,19171.1,3387.2,108507.2
Chad,2027,20224.3,3023.1,135299.5
Chad,2028,21335.3,2693.3,169008.5
Chad,2029,22507.3,2396.2,211407.5
Chad,2030,23743.7,2129.6,264731.1
Chile,2024,3114.0,762.5,12718.2
Chile,2025,3187.9,664.0,15304.5
Chile,2026,3263.5,576.5,18475.6
Chile,2027,3340.9,499.3,22356.2
Chile,2028,3420.1,431.6,27100.4
Chile,2029,3501.2,372.6,32896.6
Chile,2030,3584.2,321.4,39976.0
China,2024,523319.0,128165.9,2136784.4
China,2025,499124.9,103994.6,2395563.2
China,2026,476049.3,84113.8,2694243.6
China,2027,454040.6,67873.6,3037307.8
China,2028,433049.4,54671.3,3430169.9
China,2029,413028.6,43976.3,3879198.3
China,2030,393933.4,35335.0,4391782.3
"China, Hong Kong SAR",2024,2964.3,720.1,12202.8
"China, Hong Kong SAR",2025,2837.1,583.4,13795.7
"China, Hong Kong SAR",2026,2715.3,471.0,15655.0
"China, Hong Kong SAR",2027,2598.7,379.1,17813.7
"China, Hong Kong SAR",2028,2487.2,304.6,20312.1
"China, Hong Kong SAR",2029,2380.4,244.3,23197.7
"China, Hong Kong SAR",2030,2278.2,195.7,26526.5
"China, Macao SAR",2024,281.8,68.9,1153.1
"China, Macao SAR",2025,273.2,56.8,1314.7
"China, Macao SAR",2026,265.0,46.7,1503.7
"China, Macao SAR",2027,256.9,38.3,1724.0
"China, Macao SAR",2028,249.2,31.4,1980.1
"China, Macao SAR",2029,241.6,25.6,2277.4
"China, Macao SAR",2030,234.3,20.9,2622.1
Colombia,2024,17846.0,4370.5,72870.9
Colombia,2025,18644.6,3884.5,89489.9
Colombia,2026,19479.0,3441.6,110249.4
Colombia,2027,20350.7,3042.0,136144.9
Colombia,2028,21261.5,2684.0,168422.9
Colombia,2029,22213.0,2364.9,208641.5
Colombia,2030,23207.0,2081.5,258745.4
Comoros,2024,119.1,25.3,561.3
Comoros,2025,120.6,21.6,673.2
Comoros,2026,122.1,18.4,810.8
Comoros,2027,123.6,15.6,979.3
Comoros,2028,125.1,13.2,1185.5
Comoros,2029,126.7,11.2,1437.8
Comoros,2030,128.3,9.4,1746.1
Congo,2024,19088.4,4542.8,80208.2
Congo,2025,21241.3,4251.6,106122.4
Congo,2026,23637.1,3964.0,140945.6
Congo,2027,26303.1,3685.6,187717.6
Congo,2028,29269.7,3419.6,250532.3
Congo,2029,32571.0,3167.7,334900.6
Congo,2030,36244.6,2930.7,448239.4
Costa Rica,2024,415.7,65.8,2626.1
Costa Rica,2025,415.3,53.9,3202.3
Costa Rica,2026,414.9,44.0,3915.1
Costa Rica,2027,414.5,35.8,4795.9
Costa Rica,2028,414.0,29.1,5883.6
Costa Rica,2029,413.6,23.7,7226.7
Costa Rica,2030,413.2,19.2,8884.6
Croatia,2024,212.9,52.0,871.5
Croatia,2025,195.9,40.7,943.2
Croatia,2026,180.4,31.8,1024.0
Croatia,2027,166.0,24.7,1114.3
Croatia,2028,152.8,19.2,1214.8
Croatia,2029,140.6,14.9,1326.1
Croatia,2030,129.4,11.6,1449.3
Cuba,2024,693.2,169.6,2833.1
Cuba,2025,691.2,143.9,3321.3
Cuba,2026,689.3,121.6,3906.1
Cuba,2027,687.4,102.6,4604.7
Cuba,2028,685.5,86.4,5437.8
Cuba,2029,683.6,72.7,6430.7
Cuba,2030,681.7,61.0,7613.0
Cyprus,2024,83.2,20.2,343.0
Cyprus,2025,87.3,18.0,423.7
Cyprus,2026,91.6,16.0,525.0
Cyprus,2027,96.1,14.2,652.1
Cyprus,2028,100.9,12.5,811.5
Cyprus,2029,105.9,11.1,1011.3
Cyprus,2030,111.1,9.8,1261.5
Czechia,2024,381.2,93.2,1559.1
Czechia,2025,371.1,77.2,1784.6
Czechia,2026,361.3,63.7,2049.1
Czechia,2027,351.7,52.5,2358.3
Czechia,2028,342.4,43.1,2719.1
Czechia,2029,333.4,35.4,3139.5
Czechia,2030,324.6,29.0,3628.8
Côte d'Ivoire,2024,20707.9,5071.4,84555.8
Côte d'Ivoire,2025,20568.3,4285.3,98721.7
Côte d'Ivoire,2026,20429.7,3609.6,115628.4
Côte d'Ivoire,2027,20292.0,3033.3,135749.6
Côte d'Ivoire,2028,20155.3,2544.4,159656.9
Côte d'Ivoire,2029,20019.5,2131.4,188034.0
Côte d'Ivoire,2030,19884.6,1783.5,221695.9
Democratic People's Republic of Korea,2024,81438.7,19876.8,333668.7
Democratic People's Republic of Korea,2025,79741.2,16578.0,383560.9
Democratic People's Republic of Korea,2026,78079.1,13777.7,442480.0
Democratic People's Republic of Korea,2027,76451.7,11420.3,511794.0
Democratic People's Republic of Korea,2028,74858.1,9447.5,593148.0
Democratic People's Republic of Korea,2029,73297.8,7803.3,688496.5
Democratic People's Republic of Korea,2030,71770.0,6437.5,800145.9
Democratic Republic of the Congo,2024,280049.0,68586.5,1143481.8
Democratic Republic of the Congo,2025,305937.8,63743.2,1468360.7
Democratic Republic of the Congo,2026,334219.9,59053.6,1891553.2
Democratic Republic of the Congo,2027,365116.5,54580.3,2442457.8
Democratic Republic of the Congo,2028,398869.2,50355.9,3159442.6
Democratic Republic of the Congo,2029,435742.2,46394.4,4092544.4
Democratic Republic of the Congo,2030,476023.9,42698.1,5306996.5
Denmark,2024,176.9,43.2,724.9
Denmark,2025,166.9,34.6,804.1
Denmark,2026,157.5,27.7,894.7
Denmark,2027,148.5,22.1,998.0
Denmark,2028,140.1,17.6,1115.2
Denmark,2029,132.2,14.0,1247.8
Denmark,2030,124.7,11.1,1397.8
Djibouti,2024,1648.6,303.0,8969.9
Djibouti,2025,1640.9,249.5,10793.4
Djibouti,2026,1633.3,204.9,13022.5
Djibouti,2027,1625.7,167.9,15743.4
Djibouti,2028,1618.2,137.4,19061.8
Djibouti,2029,1610.7,112.3,23107.3
Djibouti,2030,1603.2,91.7,28037.8
Dominican Republic,2024,4504.7,1103.0,18396.4
Dominican Republic,2025,4658.8,970.5,22364.3
Dominican Republic,2026,4818.2,851.1,27274.8
Dominican Republic,2027,4983.0,744.7,33341.8
Dominican Republic,2028,5153.5,650.4,40831.2
Dominican Republic,2029,5329.8,567.3,50072.1
Dominican Republic,2030,5512.1,494.3,61471.1
Ecuador,2024,6654.1,1564.3,28305.2
Ecuador,2025,6826.7,1365.3,34135.2
Ecuador,2026,7003.9,1187.7,41302.5
Ecuador,2027,7185.6,1030.6,50098.0
Ecuador,2028,7372.1,892.7,60880.9
Ecuador,2029,7563.3,772.1,74092.8
Ecuador,2030,7759.6,667.0,90276.2
Egypt,2024,8622.0,2111.4,35207.7
Egypt,2025,8699.7,1812.4,41758.3
Egypt,2026,8778.1,1550.9,49685.6
Egypt,2027,8857.2,1323.9,59257.1
Egypt,2028,8937.1,1128.1,70798.8
Egypt,2029,9017.6,960.0,84705.3
Egypt,2030,9098.9,816.0,101453.7
El Salvador,2024,4096.0,1002.9,16728.0
El Salvador,2025,4309.4,897.7,20687.9
El Salvador,2026,4533.9,800.9,25666.7
El Salvador,2027,4770.1,712.9,31918.9
El Salvador,2028,5018.6,633.4,39764.9
El Salvador,2029,5280.1,562.0,49608.1
El Salvador,2030,5555.2,498.1,61955.2
Equatorial Guinea,2024,3723.4,853.3,16247.5
Equatorial Guinea,2025,4268.4,814.6,22365.6
Equatorial Guinea,2026,4893.3,774.8,30906.5
Equatorial Guinea,2027,5609.7,734.8,42828.6
Equatorial Guinea,2028,6431.0,695.4,59473.3
Equatorial Guinea,2029,7372.5,657.1,82717.8
Equatorial Guinea,2030,8451.8,620.1,115189.3
Eritrea,2024,1779.0,435.6,7266.7
Eritrea,2025,1723.5,359.0,8275.2
Eritrea,2026,1669.7,294.9,9453.7
Eritrea,2027,1617.5,241.7,10825.6
Eritrea,2028,1567.0,197.7,12418.6
Eritrea,2029,1518.1,161.5,14265.8
Eritrea,2030,1470.7,131.8,16405.6
Estonia,2024,74.5,18.1,306.3
Estonia,2025,67.8,14.0,327.8
Estonia,2026,61.7,10.8,352.0
Estonia,2027,56.1,8.3,378.9
Estonia,2028,51.1,6.4,408.6
Estonia,2029,46.5,4.9,441.1
Estonia,2030,42.3,3.7,476.9
Eswatini,2024,1638.6,401.2,6692.6
Eswatini,2025,1461.0,304.3,7014.7
Eswatini,2026,1302.7,230.1,7375.8
Eswatini,2027,1161.6,173.6,7773.6
Eswatini,2028,1035.7,130.7,8207.6
Eswatini,2029,923.5,98.3,8677.8
Eswatini,2030,823.5,73.8,9184.9
Ethiopia,2024,154957.2,37950.3,632714.6
Ethiopia,2025,164211.7,34214.0,788142.5
Ethiopia,2026,174018.9,30747.5,984881.3
Ethiopia,2027,184411.9,27567.2,1233632.5
Ethiopia,2028,195425.5,24671.8,1547970.1
Ethiopia,2029,207097.0,22050.0,1945086.3
Ethiopia,2030,219465.4,19685.4,2446739.1
Fiji,2024,588.0,143.8,2404.6
Fiji,2025,631.4,131.3,3036.0
Fiji,2026,678.1,119.6,3845.5
Fiji,2027,728.2,108.6,4882.3
Fiji,2028,782.1,98.5,6209.9
Fiji,2029,839.9,89.2,7909.3
Fiji,2030,902.0,80.7,10084.7
Finland,2024,169.5,41.4,694.7
Finland,2025,162.8,33.8,784.6
Finland,2026,156.4,27.5,888.9
Finland,2027,150.2,22.3,1009.5
Finland,2028,144.2,18.1,1148.5
Finland,2029,138.5,14.7,1308.4
Finland,2030,133.0,11.9,1492.2
France,2024,4211.8,762.1,23275.5
France,2025,4144.5,565.9,30352.6
France,2026,4078.4,416.8,39902.7
France,2027,4013.3,305.4,52739.5
France,2028,3949.2,222.9,69964.9
