country,year,projected_cases,lower_ci,upper_ci
Palau,2027,15.2,2.1,108.8
Palau,2028,15.4,1.8,131.8
Palau,2029,15.7,1.5,160.0
Palau,2030,16.0,1.3,194.4
Panama,2024,1939.1,474.7,7920.8
Panama,2025,1978.0,411.9,9497.5
Panama,2026,2017.6,356.3,11424.3
Panama,2027,2058.0,307.5,13774.5
Panama,2028,2099.3,264.9,16637.7
Panama,2029,2141.3,227.8,20124.0
Panama,2030,2184.2,195.8,24367.2
Papua New Guinea,2024,96621.7,23662.9,394530.9
Papua New Guinea,2025,125216.4,26088.4,601000.1
Papua New Guinea,2026,162273.5,28671.1,918439.5
Papua New Guinea,2027,210297.6,31435.4,1406855.1
Papua New Guinea,2028,272534.1,34404.7,2158853.6
Papua New Guinea,2029,353189.1,37602.6,3317390.4
Papua New Guinea,2030,457713.7,41053.0,5103198.9
Paraguay,2024,3333.1,816.1,13612.8
Paraguay,2025,3450.8,718.8,16566.7
Paraguay,2026,3572.7,631.1,20226.0
Paraguay,2027,3698.9,552.8,24751.6
Paraguay,2028,3829.5,483.3,30344.1
Paraguay,2029,3964.7,422.0,37251.5
Paraguay,2030,4104.7,368.0,45781.0
Peru,2024,32435.1,7943.5,132440.3
Peru,2025,34437.0,7174.9,165286.1
Peru,2026,36562.5,6460.1,206935.4
Peru,2027,38819.2,5802.8,259690.4
Peru,2028,41215.1,5203.1,326476.6
Peru,2029,43759.0,4658.9,411005.6
Peru,2030,46459.8,4167.1,517983.5
Philippines,2024,613273.9,150196.6,2504083.8
Philippines,2025,672749.6,140169.9,3228881.4
Philippines,2026,737993.3,130396.9,4176741.7
Philippines,2027,809564.4,121019.9,5415591.1
Philippines,2028,888076.5,112117.1,7034431.4
Philippines,2029,974202.7,103725.9,9149801.2
Philippines,2030,1068681.6,95858.3,11914252.3
Portugal,2024,1418.5,347.3,5794.4
Portugal,2025,1356.9,282.6,6515.7
Portugal,2026,1298.0,229.2,7350.2
Portugal,2027,1241.7,185.5,8311.0
Portugal,2028,1187.8,149.9,9414.3
Portugal,2029,1136.2,120.9,10678.8
Portugal,2030,1086.9,97.4,12126.3
Qatar,2024,1041.1,232.0,4671.9
Qatar,2025,1119.6,205.1,6111.0
Qatar,2026,1204.0,180.5,8031.0
Qatar,2027,1294.8,158.3,10589.9
Qatar,2028,1392.4,138.5,13998.8
Qatar,2029,1497.4,120.9,18539.4
Qatar,2030,1610.3,105.5,24588.2
Republic of Korea,2024,16918.4,4143.3,69082.3
Republic of Korea,2025,15575.5,3245.1,74757.5
Republic of Korea,2026,14339.1,2533.5,81156.7
Republic of Korea,2027,13200.9,1973.3,88311.5
Republic of Korea,2028,12153.1,1534.2,96268.6
Republic of Korea,2029,11188.4,1191.2,105087.7
Republic of Korea,2030,10300.3,923.9,114839.5
Republic of Moldova,2024,1461.3,357.8,5969.1
Republic of Moldova,2025,1340.6,279.2,6436.9
Republic of Moldova,2026,1229.8,217.2,6963.6
Republic of Moldova,2027,1128.2,168.6,7551.1
Republic of Moldova,2028,1035.0,130.6,8202.8
Republic of Moldova,2029,949.5,101.0,8923.0
Republic of Moldova,2030,871.1,78.1,9717.1
Romania,2024,8043.0,1969.7,32843.2
Romania,2025,7587.9,1580.8,36421.3
Romania,2026,7158.5,1264.7,40518.0
Romania,2027,6753.5,1009.5,45181.7
Romania,2028,6371.3,804.3,50472.3
Romania,2029,6010.8,639.9,56460.2
Romania,2030,5670.7,508.6,63227.3
Russian Federation,2024,37091.2,9083.9,151450.5
Russian Federation,2025,34318.5,7150.3,164715.1
Russian Federation,2026,31753.1,5610.4,179712.6
Russian Federation,2027,29379.5,4391.8,196537.9
Russian Federation,2028,27183.3,3431.7,215322.3
Russian Federation,2029,25151.3,2677.9,236227.9
Russian Federation,2030,23271.2,2087.3,259445.4
Rwanda,2024,7675.1,1879.5,31341.6
Rwanda,2025,7924.6,1650.9,38038.9
Rwanda,2026,8182.3,1445.6,46314.4
Rwanda,2027,8448.4,1262.8,56523.3
Rwanda,2028,8723.1,1101.1,69105.8
Rwanda,2029,9006.7,958.8,84605.9
Rwanda,2030,9299.6,834.0,103695.4
Samoa,2024,13.5,2.4,77.3
Samoa,2025,12.9,1.8,89.9
Samoa,2026,12.3,1.4,104.7
Samoa,2027,11.8,1.1,122.3
Samoa,2028,11.3,0.9,143.0
Samoa,2029,10.8,0.7,167.5
Samoa,2030,10.3,0.5,196.3
Sao Tome and Principe,2024,122.2,29.8,501.6
Sao Tome and Principe,2025,119.3,24.7,575.9
Sao Tome and Principe,2026,116.5,20.4,663.4
Sao Tome and Principe,2027,113.7,16.9,765.9
Sao Tome and Principe,2028,111.0,13.9,885.9
Sao Tome and Principe,2029,108.3,11.4,1026.1
Sao Tome and Principe,2030,105.8,9.4,1189.8
Saudi Arabia,2024,2436.8,596.6,9952.5
Saudi Arabia,2025,2361.7,491.9,11338.5
Saudi Arabia,2026,2289.0,404.3,12958.7
Saudi Arabia,2027,2218.4,331.5,14845.4
Saudi Arabia,2028,2150.1,271.3,17037.1
Saudi Arabia,2029,2083.8,221.8,19579.4
Saudi Arabia,2030,2019.6,181.1,22525.6
Senegal,2024,15291.6,3744.9,62440.7
Senegal,2025,15558.3,3241.5,74676.7
Senegal,2026,15829.7,2796.8,89595.1
Senegal,2027,16105.9,2407.5,107747.3
Senegal,2028,16386.8,2068.6,129808.5
Senegal,2029,16672.6,1775.0,156602.9
Senegal,2030,16963.5,1521.5,189133.6
Serbia,2024,640.9,156.8,2619.0
Serbia,2025,587.0,122.2,2819.9
Serbia,2026,537.6,94.9,3045.9
Serbia,2027,492.4,73.5,3297.7
Serbia,2028,451.0,56.9,3576.7
Serbia,2029,413.1,43.9,3884.7
Serbia,2030,378.3,33.9,4223.8
Seychelles,2024,16.1,3.8,68.5
Seychelles,2025,16.1,3.2,81.2
Seychelles,2026,16.2,2.7,96.5
Seychelles,2027,16.2,2.3,115.0
Seychelles,2028,16.3,1.9,137.4
Seychelles,2029,16.3,1.6,164.3
Seychelles,2030,16.4,1.4,196.7
Sierra Leone,2024,25980.5,6362.6,106086.0
Sierra Leone,2025,28537.3,5945.6,136971.7
Sierra Leone,2026,31345.8,5538.3,177413.2
Sierra Leone,2027,34430.7,5146.7,230337.0
Sierra Leone,2028,37819.2,4774.3,299582.6
Sierra Leone,2029,41541.1,4422.7,390183.6
Sierra Leone,2030,45629.4,4092.6,508737.6
Singapore,2024,2315.4,566.9,9457.1
Singapore,2025,2327.0,484.7,11172.5
Singapore,2026,2338.7,413.1,13241.3
Singapore,2027,2350.5,351.2,15730.2
Singapore,2028,2362.3,298.1,18720.2
Singapore,2029,2374.2,252.7,22309.3
Singapore,2030,2386.1,213.9,26615.6
Slovakia,2024,152.1,37.1,623.2
Slovakia,2025,141.1,29.3,679.8
Slovakia,2026,130.9,23.0,743.9
Slovakia,2027,121.4,18.1,816.0
Slovakia,2028,112.6,14.1,896.7
Slovakia,2029,104.5,11.1,986.7
Slovakia,2030,96.9,8.6,1087.0
Slovenia,2024,72.8,17.7,299.8
Slovenia,2025,68.7,14.2,332.5
Slovenia,2026,64.7,11.3,370.0
Slovenia,2027,61.0,9.0,412.6
Slovenia,2028,57.5,7.2,461.0
Slovenia,2029,54.2,5.7,515.8
Slovenia,2030,51.1,4.5,577.7
Solomon Islands,2024,241.0,58.9,986.6
Solomon Islands,2025,229.8,47.8,1106.2
Solomon Islands,2026,219.2,38.6,1244.3
Solomon Islands,2027,209.0,31.1,1402.9
Solomon Islands,2028,199.3,25.1,1584.6
Solomon Islands,2029,190.1,20.2,1792.2
Solomon Islands,2030,181.3,16.2,2029.3
Somalia,2024,20363.4,4987.0,83149.8
Somalia,2025,21226.8,4422.5,101883.2
Somalia,2026,22126.9,3909.4,125235.2
Somalia,2027,23065.1,3447.8,154302.5
Somalia,2028,24043.1,3035.2,190455.9
Somalia,2029,25062.6,2668.3,235404.9
Somalia,2030,26125.3,2343.2,291279.0
South Africa,2024,179340.1,43922.0,732272.2
South Africa,2025,170650.2,35555.5,819042.3
South Africa,2026,162381.4,28691.3,919014.5
South Africa,2027,154513.3,23097.8,1033620.6
South Africa,2028,147026.4,18561.6,1164594.7
South Africa,2029,139902.2,14895.7,1313977.7
South Africa,2030,133123.3,11940.8,1484135.8
South Sudan,2024,24484.2,5996.2,99976.6
South Sudan,2025,27153.4,5657.2,130329.7
South Sudan,2026,30113.5,5320.5,170439.5
South Sudan,2027,33396.4,4992.0,223419.0
South Sudan,2028,37037.1,4675.5,293389.8
South Sudan,2029,41074.8,4373.0,385806.3
South Sudan,2030,45552.6,4085.6,507885.9
Spain,2024,3210.1,785.9,13112.3
Spain,2025,3059.3,636.6,14701.1
Spain,2026,2915.6,513.9,16542.8
Spain,2027,2778.7,413.7,18665.5
Spain,2028,2648.2,332.3,21103.4
Spain,2029,2523.8,266.5,23897.4
Spain,2030,2405.2,213.5,27094.8
Sri Lanka,2024,8468.0,2073.7,34579.0
Sri Lanka,2025,8433.2,1756.9,40479.2
Sri Lanka,2026,8398.6,1483.8,47537.1
Sri Lanka,2027,8364.0,1250.2,55957.3
Sri Lanka,2028,8329.6,1051.5,65986.6
Sri Lanka,2029,8295.4,883.1,77921.0
Sri Lanka,2030,8261.3,740.9,92114.0
Sudan,2024,22454.3,5499.1,91687.9
Sudan,2025,24192.9,5040.5,116119.8
Sudan,2026,26066.1,4605.4,147530.9
Sudan,2027,28084.3,4198.0,187880.8
Sudan,2028,30258.8,3819.8,239693.8
Sudan,2029,32601.6,3470.9,306218.0
Sudan,2030,35125.8,3150.5,391631.1
Suriname,2024,116.1,28.3,476.7
Suriname,2025,114.1,23.6,550.9
Suriname,2026,112.1,19.7,638.6
Suriname,2027,110.1,16.3,742.1
Suriname,2028,108.2,13.5,863.9
Suriname,2029,106.3,11.2,1007.1
Suriname,2030,104.4,9.3,1175.3
Sweden,2024,324.9,79.4,1329.1
Sweden,2025,304.4,63.3,1463.9
Sweden,2026,285.2,50.3,1617.5
Sweden,2027,267.2,39.8,1791.5
Sweden,2028,250.3,31.5,1987.7
Sweden,2029,234.5,24.9,2208.4
Sweden,2030,219.7,19.6,2456.4
Switzerland,2024,329.2,59.4,1823.2
Switzerland,2025,312.1,42.5,2291.1
Switzerland,2026,295.8,30.1,2902.4
Switzerland,2027,280.4,21.3,3696.6
Switzerland,2028,265.8,15.0,4725.7
Switzerland,2029,252.0,10.5,6057.3
Switzerland,2030,238.8,7.3,7779.5
Syrian Arab Republic,2024,3104.8,760.2,12680.4
Syrian Arab Republic,2025,3119.2,649.7,14974.5
Syrian Arab Republic,2026,3133.6,553.5,17740.1
Syrian Arab Republic,2027,3148.1,470.5,21066.0
Syrian Arab Republic,2028,3162.7,399.1,25060.0
Syrian Arab Republic,2029,3177.3,338.2,29852.6
Syrian Arab Republic,2030,3192.0,286.2,35600.4
Tajikistan,2024,3948.9,967.0,16126.7
Tajikistan,2025,3823.3,796.5,18353.3
Tajikistan,2026,3701.7,653.9,20953.9
Tajikistan,2027,3583.9,535.6,23979.5
Tajikistan,2028,3469.8,438.0,27490.9
Tajikistan,2029,3359.5,357.6,31560.1
Tajikistan,2030,3252.6,291.7,36271.0
Thailand,2024,87926.4,21533.9,359018.5
Thailand,2025,90592.7,18875.2,434805.7
Thailand,2026,93339.8,16492.2,528269.9
Thailand,2027,96170.2,14376.1,643338.0
Thailand,2028,99086.4,12509.2,784869.5
Thailand,2029,102091.1,10869.8,958860.1
Thailand,2030,105186.9,9434.9,1172696.2
Timor-Leste,2024,6290.6,1540.4,25689.5
Timor-Leste,2025,6824.9,1421.7,32761.9
Timor-Leste,2026,7404.5,1308.1,41914.7
Timor-Leste,2027,8033.4,1200.6,53751.1
Timor-Leste,2028,8715.7,1100.1,69053.0
Timor-Leste,2029,9455.9,1006.5,88833.6
Timor-Leste,2030,10259.0,919.9,114404.9
Togo,2024,2921.3,715.3,11931.1
Togo,2025,2959.9,616.5,14209.9
Togo,2026,2998.9,529.7,16977.9
Togo,2027,3038.5,454.1,20333.0
Togo,2028,3078.6,388.5,24394.6
Togo,2029,3119.2,332.0,29307.9
Togo,2030,3160.4,283.4,35249.1
Trinidad and Tobago,2024,238.5,58.2,976.8
Trinidad and Tobago,2025,238.6,49.6,1149.1
Trinidad and Tobago,2026,238.7,42.0,1356.1
Trinidad and Tobago,2027,238.8,35.6,1604.1
Trinidad and Tobago,2028,238.9,30.0,1900.9
Trinidad and Tobago,2029,239.0,25.3,2255.7
Trinidad and Tobago,2030,239.1,21.3,2679.7
Turkmenistan,2024,1989.5,487.1,8126.0
Turkmenistan,2025,1956.3,407.5,9392.8
Turkmenistan,2026,1923.7,339.8,10891.7
Turkmenistan,2027,1891.6,282.6,12659.7
Turkmenistan,2028,1860.1,234.7,14740.9
Turkmenistan,2029,1829.1,194.6,17187.9
Turkmenistan,2030,1798.6,161.2,20063.0
Türkiye,2024,9080.2,2223.7,37078.2
Türkiye,2025,8771.0,1827.3,42100.0
Türkiye,2026,8472.4,1496.9,47954.5
Türkiye,2027,8184.0,1223.3,54751.8
Türkiye,2028,7905.4,997.9,62624.3
Türkiye,2029,7636.2,813.0,71727.7
Türkiye,2030,7376.3,661.6,82243.9
Uganda,2024,99988.0,24487.8,408268.7
Uganda,2025,109902.7,22898.4,527486.4
Uganda,2026,120800.5,21344.1,683689.2
Uganda,2027,132778.9,19848.6,888237.1
Uganda,2028,145945.1,18424.9,1156043.0
Uganda,2029,160416.8,17079.7,1506671.6
Uganda,2030,176323.5,15815.6,1965783.5
Ukraine,2024,14416.8,3530.7,58868.4
Ukraine,2025,13606.4,2834.8,65307.0
Ukraine,2026,12841.4,2268.9,72680.8
Ukraine,2027,12119.5,1811.6,81077.9
Ukraine,2028,11438.2,1444.0,90606.7
Ukraine,2029,10795.2,1149.3,101395.3
Ukraine,2030,10188.3,913.8,113591.9
United Arab Emirates,2024,66.2,16.0,272.9
United Arab Emirates,2025,65.7,13.5,319.0
United Arab Emirates,2026,65.2,11.4,374.0
United Arab Emirates,2027,64.8,9.6,439.5
United Arab Emirates,2028,64.4,8.0,517.5
United Arab Emirates,2029,63.9,6.7,610.2
United Arab Emirates,2030,63.5,5.6,720.2
United Kingdom of Great Britain and Northern Ireland,2024,4172.7,1021.8,17040.2
United Kingdom of Great Britain and Northern Ireland,2025,3992.8,831.8,19166.8
United Kingdom of Great Britain and Northern Ireland,2026,3820.7,675.0,21627.5
United Kingdom of Great Britain and Northern Ireland,2027,3656.0,546.4,24461.6
United Kingdom of Great Britain and Northern Ireland,2028,3498.4,441.6,27716.6
United Kingdom of Great Britain and Northern Ireland,2029,3347.6,356.3,31448.0
United Kingdom of Great Britain and Northern Ireland,2030,3203.3,287.3,35720.7
United Republic of Tanzania,2024,99016.4,24249.9,404300.5
United Republic of Tanzania,2025,103575.4,21580.2,497117.1
United Republic of Tanzania,2026,108344.4,19143.3,613190.5
United Republic of Tanzania,2027,113333.0,16941.7,758149.5
United Republic of Tanzania,2028,118551.3,14966.6,939051.1
United Republic of Tanzania,2029,124009.8,13203.5,1164724.2
United Republic of Tanzania,2030,129719.7,11635.4,1446203.7
Uruguay,2024,1231.3,301.4,5030.9
Uruguay,2025,1275.6,265.6,6126.9
Uruguay,2026,1321.6,233.3,7485.5
Uruguay,2027,1369.1,204.5,9166.9
Uruguay,2028,1418.4,178.9,11246.1
Uruguay,2029,1469.5,156.3,13815.9
Uruguay,2030,1522.4,136.4,16991.5
Uzbekistan,2024,13049.5,3195.8,53285.8
Uzbekistan,2025,12824.6,2671.9,61555.4
Uzbekistan,2026,12603.5,2226.8,71335.2
Uzbekistan,2027,12386.3,1851.5,82863.7
Uzbekistan,2028,12172.8,1536.7,96427.2
Uzbekistan,2029,11963.0,1273.6,112365.9
Uzbekistan,2030,11756.7,1054.5,131081.6
Vanuatu,2024,86.9,21.1,357.5
Vanuatu,2025,85.4,17.6,413.5
Vanuatu,2026,84.0,14.7,479.8
Vanuatu,2027,82.6,12.2,558.0
Vanuatu,2028,81.2,10.1,650.2
Vanuatu,2029,79.8,8.4,758.6
Vanuatu,2030,78.5,6.9,886.1
Venezuela (Bolivarian Republic of),2024,12238.6,2997.2,49975.4
Venezuela (Bolivarian Republic of),2025,12878.2,2683.0,61814.2
Venezuela (Bolivarian Republic of),2026,13551.3,2394.2,76701.3
Venezuela (Bolivarian Republic of),2027,14259.5,2131.4,95398.2
Venezuela (Bolivarian Republic of),2028,15004.8,1894.1,118864.7
Venezuela (Bolivarian Republic of),2029,15789.0,1680.9,148308.1
Venezuela (Bolivarian Republic of),2030,16614.1,1490.1,185246.2
Viet Nam,2024,101987.7,24977.6,416432.3
Viet Nam,2025,102057.4,21263.9,489830.3
Viet Nam,2026,102127.1,18044.8,578001.7
Viet Nam,2027,102196.9,15277.1,683652.5
Viet Nam,2028,102266.8,12910.8,810058.8
Viet Nam,2029,102336.7,10896.0,961163.3
Viet Nam,2030,102406.6,9185.6,1141695.6
Yemen,2024,10594.5,2594.5,43261.9
Yemen,2025,10717.4,2232.8,51442.2
Yemen,2026,10841.6,1915.5,61364.2
Yemen,2027,10967.3,1639.3,73372.5
Yemen,2028,11094.4,1400.5,87887.4
Yemen,2029,11223.0,1194.8,105419.2
Yemen,2030,11353.1,1018.2,126585.9
Zambia,2024,49892.6,12219.0,203721.4
Zambia,2025,51335.0,10695.7,246387.7
Zambia,2026,52819.1,9332.5,298939.6
Zambia,2027,54346.1,8123.9,363555.5
Zambia,2028,55917.2,7059.2,442927.8
Zambia,2029,57533.7,6125.6,540374.3
Zambia,2030,59197.0,5309.7,659977.1
Zimbabwe,2024,16682.1,4085.5,68117.6
Zimbabwe,2025,15670.2,3264.8,75212.4
Zimbabwe,2026,14719.7,2600.7,83310.8
Zimbabwe,2027,13826.8,2066.8,92498.8
Zimbabwe,2028,12988.1,1639.6,102883.4
Zimbabwe,2029,12200.3,1298.9,114592.1
Zimbabwe,2030,11460.3,1027.9,127772.2
"occupied Palestinian territory, including east Jerusalem",2024,16.6,3.7,75.3
"occupied Palestinian territory, including east Jerusalem",2025,15.1,2.7,83.1
"occupied Palestinian territory, including east Jerusalem",2026,13.8,2.1,92.2
"occupied Palestinian territory, including east Jerusalem",2027,12.5,1.5,102.7
"occupied Palestinian territory, including east Jerusalem",2028,11.4,1.1,114.7
"occupied Palestinian territory, including east Jerusalem",2029,10.4,0.8,128.4
"occupied Palestinian territory, including east Jerusalem",2030,9.5,0.6,144.0
